Unique ID	Unique ID 2	Parent	Name	Tier 1	Tier 2	Tier 3	Tier 4		Name	NULL
1	1551		Automotive	Automotive					Vehicles	NULL
2	1551	1	Auto Body Styles	Automotive	Auto Body Styles				Vehicles	NULL
3	1551	2	Commercial Trucks	Automotive	Auto Body Styles	Commercial Trucks			Vehicles	NULL
4	1551	2	Sedan	Automotive	Auto Body Styles	Sedan			Vehicles	NULL
5	1551	2	Station Wagon	Automotive	Auto Body Styles	Station Wagon			Vehicles	NULL
6	1551	2	SUV	Automotive	Auto Body Styles	SUV			Vehicles	NULL
7	1551	2	Van	Automotive	Auto Body Styles	Van			Vehicles	NULL
8	1551	2	Convertible	Automotive	Auto Body Styles	Convertible			Vehicles	NULL
9	1551	2	Coupe	Automotive	Auto Body Styles	Coupe			Vehicles	NULL
10	1551	2	Crossover	Automotive	Auto Body Styles	Crossover			Vehicles	NULL
11	1551	2	Hatchback	Automotive	Auto Body Styles	Hatchback			Vehicles	NULL
12	1551	2	Microcar	Automotive	Auto Body Styles	Microcar			Vehicles	NULL
13	1551	2	Minivan	Automotive	Auto Body Styles	Minivan			Vehicles	NULL
14	1551	2	Off-Road Vehicles	Automotive	Auto Body Styles	Off-Road Vehicles			Vehicles	NULL
15	1551	2	Pickup Trucks	Automotive	Auto Body Styles	Pickup Trucks			Vehicles	NULL
16	1551	1	Auto Type	Automotive	Auto Type				Vehicles	NULL
17	1551	16	Budget Cars	Automotive	Auto Type	Budget Cars			Vehicles	NULL
18	1551	16	Certified Pre-Owned Cars	Automotive	Auto Type	Certified Pre-Owned Cars			Vehicles	NULL
19	1551	16	Classic Cars	Automotive	Auto Type	Classic Cars			Vehicles	NULL
20	1551	16	Concept Cars	Automotive	Auto Type	Concept Cars			Vehicles	NULL
21	1551	16	Driverless Cars	Automotive	Auto Type	Driverless Cars			Vehicles	NULL
22	1551	16	Green Vehicles	Automotive	Auto Type	Green Vehicles			Vehicles	NULL
23	1551	16	Luxury Cars	Automotive	Auto Type	Luxury Cars			Vehicles	NULL
24	1551	16	Performance Cars	Automotive	Auto Type	Performance Cars			Vehicles	NULL
25	1551	1	Car Culture	Automotive	Car Culture				Vehicles	NULL
26	1551	1	Dash Cam Videos	Automotive	Dash Cam Videos				Vehicles	NULL
27	1551	1	Motorcycles	Automotive	Motorcycles				Vehicles	NULL
28	1551	1	Road-Side Assistance	Automotive	Road-Side Assistance				Vehicles	NULL
29	1551	1	Scooters	Automotive	Scooters				Vehicles	NULL
30	1551	1	Auto Buying and Selling	Automotive	Auto Buying and Selling				Vehicles	NULL
31	1551	1	Auto Insurance	Automotive	Auto Insurance				Vehicles	NULL
32	1558	1	Auto Parts	Automotive	Auto Parts				Automotive Parts and Accessories	NULL
33	1562	1	Auto Recalls	Automotive	Auto Recalls				Auto Repair	NULL
34	1562	1	Auto Repair	Automotive	Auto Repair				Auto Repair	NULL
35	1551	1	Auto Safety	Automotive	Auto Safety				Vehicles	NULL
36	1562	1	Auto Shows	Automotive	Auto Shows				Auto Repair	NULL
37	1551	1	Auto Technology	Automotive	Auto Technology				Vehicles	NULL
38	1551	37	Auto Infotainment Technologies	Automotive	Auto Technology	Auto Infotainment Technologies			Vehicles	NULL
39	1551	37	Auto Navigation Systems	Automotive	Auto Technology	Auto Navigation Systems			Vehicles	NULL
40	1551	37	Auto Safety Technologies	Automotive	Auto Technology	Auto Safety Technologies			Vehicles	NULL
41	1551	1	Auto Rentals	Automotive	Auto Rentals				Vehicles	NULL
42	1422		Books and Literature	Books and Literature					Books and Audio Books	NULL
43	1422	42	Art and Photography Books	Books and Literature	Art and Photography Books				Books and Audio Books	NULL
44	1422	42	Biographies	Books and Literature	Biographies				Books and Audio Books	NULL
45	1422	42	Children's Literature	Books and Literature	Children's Literature				Books and Audio Books	NULL
46	1422	42	Comics and Graphic Novels	Books and Literature	Comics and Graphic Novels				Books and Audio Books	NULL
47	1422	42	Cookbooks	Books and Literature	Cookbooks				Books and Audio Books	NULL
48	1422	42	Fiction	Books and Literature	Fiction				Books and Audio Books	NULL
49	1422	42	Poetry	Books and Literature	Poetry				Books and Audio Books	NULL
50	1422	42	Travel Books	Books and Literature	Travel Books				Books and Audio Books	NULL
51	1422	42	Young Adult Literature	Books and Literature	Young Adult Literature				Books and Audio Books	NULL
52	1010		Business and Finance	Business and Finance					Business and Industrial	NULL
53	1010	52	Business	Business and Finance	Business				Business and Industrial	NULL
54	339	53	Business Accounting & Finance	Business and Finance	Business	Business Accounting & Finance			FInance and Insurance	NULL
55	1016	53	Human Resources	Business and Finance	Business	Human Resources			Human Resources and Recruiting	NULL
56	1010	53	Large Business	Business and Finance	Business	Large Business			Business and Industrial	NULL
57	1019	53	Logistics	Business and Finance	Business	Logistics			Logistics and Delivery	NULL
58	1011	53	Marketing and Advertising	Business and Finance	Business	Marketing and Advertising			Advertising and Marketing	NULL
59	1010	53	Sales	Business and Finance	Business	Sales			Business and Industrial	NULL
60	1047	53	Small and Medium-sized Business	Business and Finance	Business	Small and Medium-sized Business			Small Business	NULL
61	1010	53	Startups	Business and Finance	Business	Startups			Business and Industrials	NULL
62	1010	53	Business Administration	Business and Finance	Business	Business Administration			Business and Industrials	NULL
63	1010	53	Business Banking & Finance	Business and Finance	Business	Business Banking & Finance			Business and Industrials	NULL
64	1010	63	Angel Investment	Business and Finance	Business	Business Banking & Finance	Angel Investment		Business and Industrials	NULL
65	1010	63	Bankruptcy	Business and Finance	Business	Business Banking & Finance	Bankruptcy		Business and Industrials	NULL
66	1010	63	Business Loans	Business and Finance	Business	Business Banking & Finance	Business Loans		Business and Industrials	NULL
67	1010	63	Debt Factoring & Invoice Discounting	Business and Finance	Business	Business Banking & Finance	Debt Factoring & Invoice Discounting		Business and Industrials	NULL
68	1010	63	Mergers and Acquisitions	Business and Finance	Business	Business Banking & Finance	Mergers and Acquisitions		Business and Industrials	NULL
69	1010	63	Private Equity	Business and Finance	Business	Business Banking & Finance	Private Equity		Business and Industrials	NULL
70	1010	63	Sale & Lease Back	Business and Finance	Business	Business Banking & Finance	Sale & Lease Back		Business and Industrials	NULL
71	1010	63	Venture Capital	Business and Finance	Business	Business Banking & Finance	Venture Capital		Business and Industrials	NULL
72	1010	53	Business I.T.	Business and Finance	Business	Business I.T.			Business and Industrials	NULL
73	1010	53	Business Operations	Business and Finance	Business	Business Operations			Business and Industrials	NULL
74	1010	53	Consumer Issues	Business and Finance	Business	Consumer Issues			Business and Industrials	NULL
75	1010	74	Recalls	Business and Finance	Business	Consumer Issues	Recalls		Business and Industrials	NULL
76	1010	53	Executive Leadership & Management	Business and Finance	Business	Executive Leadership & Management			Business and Industrials	NULL
77	1010	53	Government Business	Business and Finance	Business	Government Business			Business and Industrials	NULL
78	1032	53	Green Solutions	Business and Finance	Business	Green Solutions			Green Energy	NULL
79	1010	53	Business Utilities	Business and Finance	Business	Business Utilities			Business and Industrials	NULL
80	339	52	Economy	Business and Finance	Economy				FInance and Insurance	NULL
81	339	80	Commodities	Business and Finance	Economy	Commodities			FInance and Insurance	NULL
82	339	80	Currencies	Business and Finance	Economy	Currencies			FInance and Insurance	NULL
83	339	80	Financial Crisis	Business and Finance	Economy	Financial Crisis			Finance and Insurance	NULL
84	339	80	Financial Reform	Business and Finance	Economy	Financial Reform			Finance and Insurance	NULL
85	339	80	Financial Regulation	Business and Finance	Economy	Financial Regulation			Finance and Insurance	NULL
86	339	80	Gasoline Prices	Business and Finance	Economy	Gasoline Prices			Finance and Insurance	NULL
87	339	80	Housing Market	Business and Finance	Economy	Housing Market			Finance and Insurance	NULL
88	339	80	Interest Rates	Business and Finance	Economy	Interest Rates			Finance and Insurance	NULL
89	1010	80	Job Market	Business and Finance	Economy	Job Market			Business and Industrials	NULL
90	1036	52	Industries	Business and Finance	Industries				Industrials	NULL
91	1036	90	Advertising Industry	Business and Finance	Industries	Advertising Industry			Industrials	NULL
92	1036	90	Education industry	Business and Finance	Industries	Education industry			Industrials	NULL
93	1036	90	Entertainment Industry	Business and Finance	Industries	Entertainment Industry			Industrials	NULL
94	1036	90	Environmental Services Industry	Business and Finance	Industries	Environmental Services Industry			Industrials	NULL
95	1036	90	Financial Industry	Business and Finance	Industries	Financial Industry			Industrials	NULL
96	1036	90	Food Industry	Business and Finance	Industries	Food Industry			Industrials	NULL
97	1036	90	Healthcare Industry	Business and Finance	Industries	Healthcare Industry			Industrials	NULL
98	1036	90	Hospitality Industry	Business and Finance	Industries	Hospitality Industry			Industrials	NULL
99	1036	90	Information Services Industry	Business and Finance	Industries	Information Services Industry			Industrials	NULL
100	1036	90	Legal Services Industry	Business and Finance	Industries	Legal Services Industry			Industrials	NULL
101	1036	90	Logistics and Transportation Industry	Business and Finance	Industries	Logistics and Transportation Industry			Industrials	NULL
102	1036	90	Agriculture	Business and Finance	Industries	Agriculture			Industrials	NULL
103	1036	90	Management Consulting Industry	Business and Finance	Industries	Management Consulting Industry			Industrials	NULL
104	1042	90	Manufacturing Industry	Business and Finance	Industries	Manufacturing Industry			Manufacturing	NULL
105	1036	90	Mechanical and Industrial Engineering Industry	Business and Finance	Industries	Mechanical and Industrial Engineering Industry			Industrials	NULL
106	1036	90	Media Industry	Business and Finance	Industries	Media Industry			Industrials	NULL
107	1036	90	Metals Industry	Business and Finance	Industries	Metals Industry			Industrials	NULL
108	1036	90	Non-Profit Organizations	Business and Finance	Industries	Non-Profit Organizations			Industrials	NULL
109	1036	90	Pharmaceutical Industry	Business and Finance	Industries	Pharmaceutical Industry			Industrials	NULL
110	1036	90	Power and Energy Industry	Business and Finance	Industries	Power and Energy Industry			Industrials	NULL
111	1036	90	Publishing Industry	Business and Finance	Industries	Publishing Industry			Industrials	NULL
112	1036	90	Real Estate Industry	Business and Finance	Industries	Real Estate Industry			Industrials	NULL
113	1036	90	Apparel Industry	Business and Finance	Industries	Apparel Industry			Industrials	NULL
114	1036	90	Retail Industry	Business and Finance	Industries	Retail Industry			Industrials	NULL
115	1036	90	Technology Industry	Business and Finance	Industries	Technology Industry			Industrials	NULL
116	1036	90	Telecommunications Industry	Business and Finance	Industries	Telecommunications Industry			Industrials	NULL
117	1041	90	Automotive Industry	Business and Finance	Industries	Automotive Industry			Transportation	NULL
118	1037	90	Aviation Industry	Business and Finance	Industries	Aviation Industry			Aerospace and Defense	NULL
119	1043	90	Biotech and Biomedical Industry	Business and Finance	Industries	Biotech and Biomedical Industry			Medical and Biotechnology	NULL
120	1038	90	Civil Engineering Industry	Business and Finance	Industries	Civil Engineering Industry			Construction and Engineering	NULL
121	1038	90	Construction Industry	Business and Finance	Industries	Construction Industry			Construction and Engineering	NULL
122	1037	90	Defense Industry	Business and Finance	Industries	Defense Industry			Aerospace and Defense	NULL
123	1295		Careers	Careers					Education and Careers	NULL
124	1295	123	Apprenticeships	Careers	Apprenticeships				Education and Careers	NULL
125	1295	123	Career Advice	Careers	Career Advice				Education and Careers	NULL
126	1295	123	Career Planning	Careers	Career Planning				Education and Careers	NULL
127	1295	123	Job Search	Careers	Job Search				Education and Careers	NULL
128	1295	127	Job Fairs	Careers	Job Search	Job Fairs			Education and Careers	NULL
129	1295	127	Resume Writing and Advice	Careers	Job Search	Resume Writing and Advice			Education and Careers	NULL
130	1295	123	Remote Working	Careers	Remote Working				Education and Careers	NULL
131	1295	123	Vocational Training	Careers	Vocational Training				Education and Careers	NULL
132	1295		Education	Education					Education and Careers	NULL
133	1296	132	Adult Education	Education	Adult Education				Adult Education	NULL
134	1295	132	Private School	Education	Private School				Education and Careers	NULL
135	1295	132	Secondary Education	Education	Secondary Education				Education and Careers	NULL
136	1295	132	Special Education	Education	Special Education			SCD	Education and Careers	NULL
137	1302	132	College Education	Education	College Education				Higher Education	NULL
138	1295	137	College Planning	Education	College Education	College Planning			Education and Careers	NULL
139	1302	137	Postgraduate Education	Education	College Education	Postgraduate Education			Higher Education	NULL
140	1295	139	Professional School	Education	College Education	Postgraduate Education	Professional School		Education and Careers	NULL
141	1302	137	Undergraduate Education	Education	College Education	Undergraduate Education			Higher Education	NULL
142	1295	132	Early Childhood Education	Education	Early Childhood Education				Education and Careers	NULL
143	1295	132	Educational Assessment	Education	Educational Assessment				Education and Careers	NULL
144	1295	143	Standardized Testing	Education	Educational Assessment	Standardized Testing			Education and Careers	NULL
145	1308	132	Homeschooling	Education	Homeschooling				Homeschooling	NULL
146	1295	132	Homework and Study	Education	Homework and Study				Education and Careers	NULL
147	1303	132	Language Learning	Education	Language Learning				Language Learning	NULL
148	1304	132	Online Education	Education	Online Education				Online Education	NULL
149	1305	132	Primary Education	Education	Primary Education				Primary Education	NULL
150	1315		Events and Attractions	Events and Attractions					Events and Performances	NULL
151	1315	150	Amusement and Theme Parks	Events and Attractions	Amusement and Theme Parks				Events and Performances	NULL
152	1315	150	Fashion Events	Events and Attractions	Fashion Events				Events and Performances	NULL
153	1315	150	Historic Site and Landmark Tours	Events and Attractions	Historic Site and Landmark Tours				Events and Performances	NULL
154	1315	150	Malls & Shopping Centers	Events and Attractions	Malls & Shopping Centers				Events and Performances	NULL
155	1315	150	Museums & Galleries	Events and Attractions	Museums & Galleries				Events and Performances	NULL
156	1315	150	Musicals	Events and Attractions	Musicals				Events and Performances	NULL
157	1315	150	National & Civic Holidays	Events and Attractions	National & Civic Holidays				Events and Performances	NULL
158	1315	150	Nightclubs	Events and Attractions	Nightclubs				Events and Performances	NULL
159	1315	150	Outdoor Activities	Events and Attractions	Outdoor Activities				Events and Performances	NULL
160	1315	150	Parks & Nature	Events and Attractions	Parks & Nature				Events and Performances	NULL
161	1315	150	Party Supplies and Decorations	Events and Attractions	Party Supplies and Decorations				Events and Performances	NULL
162	1315	150	Awards Shows	Events and Attractions	Awards Shows				Events and Performances	NULL
163	1315	150	Personal Celebrations & Life Events	Events and Attractions	Personal Celebrations & Life Events				Events and Performances	NULL
164	1315	163	Anniversary	Events and Attractions	Personal Celebrations & Life Events	Anniversary			Events and Performances	NULL
165	1315	163	Wedding	Events and Attractions	Personal Celebrations & Life Events	Wedding			Events and Performances	NULL
166	1315	163	Baby Shower	Events and Attractions	Personal Celebrations & Life Events	Baby Shower			Events and Performances	NULL
167	1315	163	Bachelor Party	Events and Attractions	Personal Celebrations & Life Events	Bachelor Party			Events and Performances	NULL
168	1315	163	Bachelorette Party	Events and Attractions	Personal Celebrations & Life Events	Bachelorette Party			Events and Performances	NULL
169	1315	163	Birth	Events and Attractions	Personal Celebrations & Life Events	Birth			Events and Performances	NULL
170	1315	163	Birthday	Events and Attractions	Personal Celebrations & Life Events	Birthday			Events and Performances	NULL
171	1315	163	Funeral	Events and Attractions	Personal Celebrations & Life Events	Funeral			Events and Performances	NULL
172	1315	163	Graduation	Events and Attractions	Personal Celebrations & Life Events	Graduation			Events and Performances	NULL
173	1315	163	Prom	Events and Attractions	Personal Celebrations & Life Events	Prom			Events and Performances	NULL
174	1315	150	Political Event	Events and Attractions	Political Event				Events and Performances	NULL
175	1315	150	Religious Events	Events and Attractions	Religious Events				Events and Performances	NULL
176	1325	150	Sporting Events	Events and Attractions	Sporting Events				Sporting Events	NULL
177	1327	150	Theater Venues and Events	Events and Attractions	Theater Venues and Events				Theatre and Musicals	NULL
178	1315	150	Zoos & Aquariums	Events and Attractions	Zoos & Aquariums				Events and Performances	NULL
179	1315	150	Bars & Restaurants	Events and Attractions	Bars & Restaurants				Events and Performances	NULL
180	1320	150	Business Expos & Conferences	Events and Attractions	Business Expos & Conferences				Conferences, Lectures and Workshops	NULL
181	1361	150	Casinos & Gambling	Events and Attractions	Casinos & Gambling				Gambling	NULL
