Name	Unique ID	Unique ID 2	Tier 1	Tier 2	Tier 3	Name
Ad Safety Risk	1000	v9i3On	Ad Safety Risk			Sensitive Topics
Adult Products and Services	1001	Rm3SiT	Adult Products and Services			Adult & Explicit Sexual Content
Alcohol	1002	211	Alcohol			Alcoholic Beverages
Bars	1003	150	Alcohol	Bars		Bars & Restaurants
Beer	1004	211	Alcohol	Beer		Alcoholic Beverages
Hard Sodas, Seltzers, Alco Pops	1005	211	Alcohol	Hard Sodas, Seltzers, Alco Pops		Alcoholic Beverages
Spirits	1006	211	Alcohol	Spirits		Alcoholic Beverages
Wine	1007	211	Alcohol	Wine		Alcoholic Beverages
Culture and Fine Arts	1008	201	Culture and Fine Arts			Fine Art
Museums and Galleries	1009	155	Culture and Fine Arts	Museums and Galleries		Museums & Galleries
Business and Industrial	1010	53	Business and Industrial			Business
Advertising and Marketing	1011	91	Business and Industrial	Advertising and Marketing		Advertising Industry
Business Services	1012	53	Business and Industrial	Business Services		Business
Consulting	1013	53	Business and Industrial	Business Services	Consulting	Business
Employee Expense and Time Tracking Services	1014	53	Business and Industrial	Business Services	Employee Expense and Time Tracking Services	Business
Event Planning	1015	53	Business and Industrial	Business Services	Event Planning	Business
Human Resources and Recruiting	1016	55	Business and Industrial	Business Services	Human Resources and Recruiting	Human Resources
Information Technology Services	1017	53	Business and Industrial	Business Services	Information Technology Services	Business
Laundry and Dry Cleaning Services	1018	53	Business and Industrial	Business Services	Laundry and Dry Cleaning Services	Business
Logistics and Delivery	1019	101	Business and Industrial	Business Services	Logistics and Delivery	Logistics and Transportation Industry
Office Equipment and Supplies	1020	53	Business and Industrial	Business Services	Office Equipment and Supplies	Business
Photographers	1021	53	Business and Industrial	Business Services	Photographers	Business
Printing/Fax/WiFi Services	1022	53	Business and Industrial	Business Services	Printing/Fax/WiFi Services	Business
Public Relations and Strategic Communication	1023	53	Business and Industrial	Business Services	Public Relations and Strategic Communication	Business
Security and Protection	1024	53	Business and Industrial	Business Services	Security and Protection	Business
Storage Facilities	1025	53	Business and Industrial	Business Services	Storage Facilities	Business
Telecom Services	1026	53	Business and Industrial	Business Services	Telecom Services	Business
Web Hosting and Cloud Computing	1027	53	Business and Industrial	Business Services	Web Hosting and Cloud Computing	Business
Construction	1028	121	Business and Industrial	Construction		Construction Industry
Energy Industry	1029	53	Business and Industrial	Energy Industry		Business
Electric Power Industry	1030	53	Business and Industrial	Energy Industry	Electric Power Industry	Business
Energy Services	1031	53	Business and Industrial	Energy Industry	Energy Services	Business
Green Energy	1032	78	Business and Industrial	Energy Industry	Green Energy	Green Solutions
Oil, Gas and Consumable Fuels	1033	53	Business and Industrial	Energy Industry	Oil, Gas and Consumable Fuels	Business
Forestry and Logging	1034	53	Business and Industrial	Forestry and Logging		Business
Industrial Storage	1035	53	Business and Industrial	Industrial Storage		Business
Industrials	1036	53	Business and Industrial	Industrials		Business
Aerospace and Defense	1037	53	Business and Industrial	Industrials	Aerospace and Defense	Business
Construction and Engineering	1038	121	Business and Industrial	Industrials	Construction and Engineering	Construction Industry
Industrial Conglomerates	1039	53	Business and Industrial	Industrials	Industrial Conglomerates	Business
Trading Companies and Distributors	1040	53	Business and Industrial	Industrials	Trading Companies and Distributors	Business
Transportation	1041	53	Business and Industrial	Industrials	Transportation	Business
Manufacturing	1042	53	Business and Industrial	Manufacturing		Business
Medical and Biotechnology	1043	119	Business and Industrial	Medical and Biotechnology		Biotech and Biomedical Industry
Mining and Quarrying	1044	53	Business and Industrial	Mining and Quarrying		Business
Science and Laboratory	1045	53	Business and Industrial	Science and Laboratory		Science
Signage	1046	53	Business and Industrial	Signage		Business
Small Business	1047	53	Business and Industrial	Small Business		Business
Waste Disposal and Recycling	1048	53	Business and Industrial	Waste Disposal and Recycling		Business
Cannabis	1049	v9i3On	Cannabis			Sensitive Topics
Cannabis Consumables	1050	v9i3On	Cannabis	Cannabis Consumables		Sensitive Topics
Cannabis Drinks	1051	v9i3On	Cannabis	Cannabis Consumables	Cannabis Drinks	Sensitive Topics
Cannabis Edibles	1052	v9i3On	Cannabis	Cannabis Consumables	Cannabis Edibles	Sensitive Topics
Cannabis Equipment	1053	v9i3On	Cannabis	Cannabis Equipment		Sensitive Topics
Cannabis Stores	1054	v9i3On	Cannabis	Cannabis Stores		Sensitive Topics
Cannabis Stocks	1055	v9i3On	Cannabis	Cannabis Stocks		Sensitive Topics
CBD Consumables	1056	v9i3On	Cannabis	CBD Consumables		Sensitive Topics
CBD Topicals	1057	v9i3On	Cannabis	CBD Topicals		Sensitive Topics
Clothing and Accessories	1058	552	Clothing and Accessories			Style & Fashion
Clothing	1059	552	Clothing and Accessories	Clothing		Style & Fashion
Children's Clothing	1060	575	Clothing and Accessories	Clothing	Children's Clothing	Children's Clothing
Maternity Clothing	1061	566	Clothing and Accessories	Clothing	Maternity Clothing	Women's Clothing
Men's Clothing	1062	582	Clothing and Accessories	Clothing	Men's Clothing	Men's Clothing
Sportswear	1063	552	Clothing and Accessories	Clothing	Sportswear	Style & Fashion
Swimwear 	1064	552	Clothing and Accessories	Clothing	Swimwear 	Style & Fashion
Underwear and Lingerie	1065	570	Clothing and Accessories	Clothing	Underwear and Lingerie	Women's Intimates and Sleepwear
Wedding Dresses/Bridal Wear/Tuxedos	1066	165	Clothing and Accessories	Clothing	Wedding Dresses/Bridal Wear/Tuxedos	Wedding
Women's Clothing	1067	566	Clothing and Accessories	Clothing	Women's Clothing	Women's Clothing
Clothing Accessories	1068	561	Clothing and Accessories	Clothing Accessories		Women's Accessories
Costumes and Accessories	1069	561	Clothing and Accessories	Costumes and Accessories		Women's Accessories
Footwear	1070	573	Clothing and Accessories	Footwear		Women's Shoes and Footwear
Footwear Accessories	1071	573	Clothing and Accessories	Footwear Accessories		Women's Shoes and Footwear
Handbags and Wallets	1072	561	Clothing and Accessories	Handbags and Wallets		Women's Accessories
Jewelry and Watches	1073	561	Clothing and Accessories	Jewelry and Watches		Women's Accessories
Sunglasses	1074	561	Clothing and Accessories	Sunglasses		Women's Accessories
Collectables and Antiques	1075	240	Collectables and Antiques			Antiquing and Antiques
Antiques	1076	240	Collectables and Antiques	Antiques		Antiquing and Antiques
Coins and Paper Money	1077	263	Collectables and Antiques	Coins and Paper Money		Stamps and Coins
Collectibles	1078	261	Collectables and Antiques	Collectibles		Collecting
Entertainment Memorabilia	1079	239	Collectables and Antiques	Entertainment Memorabilia		Hobbies & Interests
Sports Memorabilia and Trading Cards	1080	239	Collectables and Antiques	Sports Memorabilia and Trading Cards		Hobbies & Interests
Stamps	1081	263	Collectables and Antiques	Stamps		Stamps and Coins
Computer Software	1082	602	Computer Software			Computer Software and Applications
Enterprise Computer Software	1083	602	Computer Software	Enterprise Computer Software		Computer Software and Applications
Personal Computer Software	1084	602	Computer Software	Personal Computer Software		Computer Software and Applications
Toolbars	1085	596	Computer Software	Toolbars		Technology & Computing
Browser Extensions 	1086	596	Computer Software	Browser Extensions 		Technology & Computing
Downloadable Utilities	1087	596	Computer Software	Downloadable Utilities		Technology & Computing
Cosmetic Services	1088	323	Cosmetic Services			Cosmetic Medical Services
Beauty Salons	1089	553	Cosmetic Services	Beauty Salons		Beauty
Hair Salons	1090	554	Cosmetic Services	Hair Salons		Hair Care
Hair Removal	1091	594	Cosmetic Services	Hair Removal		Shaving
Hair Restoration	1092	554	Cosmetic Services	Hair Restoration		Hair Care
Nail Salons	1093	556	Cosmetic Services	Nail Salons		Nail Care
Med Spas	1094	323	Cosmetic Services	Med Spas		Cosmetic Medical Services
Piercing and Tattooing	1095	553	Cosmetic Services	Piercing and Tattooing		Beauty
Tanning Salons	1096	553	Cosmetic Services	Tanning Salons		Beauty
Consumer Electronics	1097	632	Consumer Electronics			Consumer Electronics
Arcade Equipment	1098	632	Consumer Electronics	Arcade Equipment		Consumer Electronics
Camcorders	1099	633	Consumer Electronics	Camcorders		Cameras and Camcorders
Cameras and Photo	1100	633	Consumer Electronics	Cameras and Photo		Cameras and Camcorders
Camera and Photo Accessories	1101	633	Consumer Electronics	Cameras and Photo	Camera and Photo Accessories	Cameras and Camcorders
Cameras	1102	633	Consumer Electronics	Cameras and Photo	Cameras	Cameras and Camcorders
Photo Applications	1103	633	Consumer Electronics	Cameras and Photo	Photo Applications	Cameras and Camcorders
Circuit Boards and Components	1104	632	Consumer Electronics	Circuit Boards and Components		Consumer Electronics
Communications Electronics	1105	632	Consumer Electronics	Communications Electronics		Consumer Electronics
Computers	1106	632	Consumer Electronics	Computers		Consumer Electronics
Laptops	1107	630	Consumer Electronics	Computers	Laptops	Laptops
Desktops	1108	617	Consumer Electronics	Computers	Desktops	Desktops
E-Readers	1109	636	Consumer Electronics	E-Readers		Tablets and E-readers
Electronics Accessories	1110	632	Consumer Electronics	Electronics Accessories		Consumer Electronics
Headphones	1111	632	Consumer Electronics	Headphones		Consumer Electronics
Home Theater Systems	1112	634	Consumer Electronics	Home Theater Systems		Home Entertainment Systems
Marine Electronics	1113	632	Consumer Electronics	Marine Electronics		Consumer Electronics
Mobile Phones and Accessories	1114	635	Consumer Electronics	Mobile Phones and Accessories		Smartphones
Networking	1115	600	Consumer Electronics	Networking		Computer Networking
Printers/Copiers/Scanners/Fax	1116	600	Consumer Electronics	Printers/Copiers/Scanners/Fax		Computer Networking
Security Devices	1117	600	Consumer Electronics	Security Devices		Computer Networking
Tablets	1118	636	Consumer Electronics	Tablets		Tablets and E-readers
Televisions	1119	640	Consumer Electronics	Televisions		Television
Video Games and Consoles	1120	680	Consumer Electronics	Video Games		Video Gaming
Video Games and Consoles	1121	680	Consumer Electronics	Video Game Consoles		Video Gaming
Video Game Console Accessories	1122	680	Consumer Electronics	Video Game Console Accessories		Video Gaming
Consumer Packaged Goods	1123	210	Consumer Packaged Goods			Food & Drink
Baby and Toddler Products	1124	192	Consumer Packaged Goods	Baby and Toddler Products		Parenting
Diapers	1125	192	Consumer Packaged Goods	Baby and Toddler Products	Diapers	Parenting
Nursing and Feeding Products	1126	192	Consumer Packaged Goods	Baby and Toddler Products	Nursing and Feeding Products	Parenting
