Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Tier 4
1		Automotive	Automotive	NULL	NULL	NULL
2	1	Auto Body Styles	Automotive	Auto Body Styles	NULL	NULL
3	2	Commercial Trucks	Automotive	Auto Body Styles	Commercial Trucks	NULL
4	2	Sedan	Automotive	Auto Body Styles	Sedan	NULL
5	2	Station Wagon	Automotive	Auto Body Styles	Station Wagon	NULL
6	2	SUV	Automotive	Auto Body Styles	SUV	NULL
7	2	Van	Automotive	Auto Body Styles	Van	NULL
8	2	Convertible	Automotive	Auto Body Styles	Convertible	NULL
9	2	Coupe	Automotive	Auto Body Styles	Coupe	NULL
10	2	Crossover	Automotive	Auto Body Styles	Crossover	NULL
11	2	Hatchback	Automotive	Auto Body Styles	Hatchback	NULL
12	2	Microcar	Automotive	Auto Body Styles	Microcar	NULL
13	2	Minivan	Automotive	Auto Body Styles	Minivan	NULL
14	2	Off-Road Vehicles	Automotive	Auto Body Styles	Off-Road Vehicles	NULL
15	2	Pickup Trucks	Automotive	Auto Body Styles	Pickup Trucks	NULL
16	1	Auto Type	Automotive	Auto Type	NULL	NULL
17	16	Budget Cars	Automotive	Auto Type	Budget Cars	NULL
18	16	Certified Pre-Owned Cars	Automotive	Auto Type	Certified Pre-Owned Cars	NULL
19	16	Classic Cars	Automotive	Auto Type	Classic Cars	NULL
20	16	Concept Cars	Automotive	Auto Type	Concept Cars	NULL
21	16	Driverless Cars	Automotive	Auto Type	Driverless Cars	NULL
22	16	Green Vehicles	Automotive	Auto Type	Green Vehicles	NULL
23	16	Luxury Cars	Automotive	Auto Type	Luxury Cars	NULL
24	16	Performance Cars	Automotive	Auto Type	Performance Cars	NULL
25	1	Car Culture	Automotive	Car Culture	NULL	NULL
26	1	Dash Cam Videos	Automotive	Dash Cam Videos	NULL	NULL
27	1	Motorcycles	Automotive	Motorcycles	NULL	NULL
28	1	Road-Side Assistance	Automotive	Road-Side Assistance	NULL	NULL
29	1	Scooters	Automotive	Scooters	NULL	NULL
30	1	Auto Buying and Selling	Automotive	Auto Buying and Selling	NULL	NULL
31	1	Auto Insurance	Automotive	Auto Insurance	NULL	NULL
32	1	Auto Parts	Automotive	Auto Parts	NULL	NULL
33	1	Auto Recalls	Automotive	Auto Recalls	NULL	NULL
34	1	Auto Repair	Automotive	Auto Repair	NULL	NULL
35	1	Auto Safety	Automotive	Auto Safety	NULL	NULL
36	1	Auto Shows	Automotive	Auto Shows	NULL	NULL
37	1	Auto Technology	Automotive	Auto Technology	NULL	NULL
38	37	Auto Infotainment Technologies	Automotive	Auto Technology	Auto Infotainment Technologies	NULL
39	37	Auto Navigation Systems	Automotive	Auto Technology	Auto Navigation Systems	NULL
40	37	Auto Safety Technologies	Automotive	Auto Technology	Auto Safety Technologies	NULL
41	1	Auto Rentals	Automotive	Auto Rentals	NULL	NULL
42		Books and Literature	Books and Literature	NULL	NULL	NULL
43	42	Art and Photography Books	Books and Literature	Art and Photography Books	NULL	NULL
44	42	Biographies	Books and Literature	Biographies	NULL	NULL
45	42	Children's Literature	Books and Literature	Children's Literature	NULL	NULL
46	42	Comics and Graphic Novels	Books and Literature	Comics and Graphic Novels	NULL	NULL
47	42	Cookbooks	Books and Literature	Cookbooks	NULL	NULL
48	42	Fiction	Books and Literature	Fiction	NULL	NULL
49	42	Poetry	Books and Literature	Poetry	NULL	NULL
50	42	Travel Books	Books and Literature	Travel Books	NULL	NULL
51	42	Young Adult Literature	Books and Literature	Young Adult Literature	NULL	NULL
52		Business and Finance	Business and Finance	NULL	NULL	NULL
53	52	Business	Business and Finance	Business	NULL	NULL
54	53	Business Accounting & Finance	Business and Finance	Business	Business Accounting & Finance	NULL
55	53	Human Resources	Business and Finance	Business	Human Resources	NULL
56	53	Large Business	Business and Finance	Business	Large Business	NULL
57	53	Logistics	Business and Finance	Business	Logistics	NULL
58	53	Marketing and Advertising	Business and Finance	Business	Marketing and Advertising	NULL
59	53	Sales	Business and Finance	Business	Sales	NULL
60	53	Small and Medium-sized Business	Business and Finance	Business	Small and Medium-sized Business	NULL
61	53	Startups	Business and Finance	Business	Startups	NULL
62	53	Business Administration	Business and Finance	Business	Business Administration	NULL
63	53	Business Banking & Finance	Business and Finance	Business	Business Banking & Finance	NULL
64	63	Angel Investment	Business and Finance	Business	Business Banking & Finance	Angel Investment
65	63	Bankruptcy	Business and Finance	Business	Business Banking & Finance	Bankruptcy
66	63	Business Loans	Business and Finance	Business	Business Banking & Finance	Business Loans
67	63	Debt Factoring & Invoice Discounting	Business and Finance	Business	Business Banking & Finance	Debt Factoring & Invoice Discounting
68	63	Mergers and Acquisitions	Business and Finance	Business	Business Banking & Finance	Mergers and Acquisitions
69	63	Private Equity	Business and Finance	Business	Business Banking & Finance	Private Equity
70	63	Sale & Lease Back	Business and Finance	Business	Business Banking & Finance	Sale & Lease Back
71	63	Venture Capital	Business and Finance	Business	Business Banking & Finance	Venture Capital
72	53	Business I.T.	Business and Finance	Business	Business I.T.	NULL
73	53	Business Operations	Business and Finance	Business	Business Operations	NULL
74	53	Consumer Issues	Business and Finance	Business	Consumer Issues	NULL
75	74	Recalls	Business and Finance	Business	Consumer Issues	Recalls
76	53	Executive Leadership & Management	Business and Finance	Business	Executive Leadership & Management	NULL
77	53	Government Business	Business and Finance	Business	Government Business	NULL
78	53	Green Solutions	Business and Finance	Business	Green Solutions	NULL
79	53	Business Utilities	Business and Finance	Business	Business Utilities	NULL
80	52	Economy	Business and Finance	Economy	NULL	NULL
81	80	Commodities	Business and Finance	Economy	Commodities	NULL
82	80	Currencies	Business and Finance	Economy	Currencies	NULL
83	80	Financial Crisis	Business and Finance	Economy	Financial Crisis	NULL
84	80	Financial Reform	Business and Finance	Economy	Financial Reform	NULL
85	80	Financial Regulation	Business and Finance	Economy	Financial Regulation	NULL
86	80	Gasoline Prices	Business and Finance	Economy	Gasoline Prices	NULL
87	80	Housing Market	Business and Finance	Economy	Housing Market	NULL
88	80	Interest Rates	Business and Finance	Economy	Interest Rates	NULL
89	80	Job Market	Business and Finance	Economy	Job Market	NULL
90	52	Industries	Business and Finance	Industries	NULL	NULL
91	90	Advertising Industry	Business and Finance	Industries	Advertising Industry	NULL
92	90	Education industry	Business and Finance	Industries	Education industry	NULL
93	90	Entertainment Industry	Business and Finance	Industries	Entertainment Industry	NULL
94	90	Environmental Services Industry	Business and Finance	Industries	Environmental Services Industry	NULL
95	90	Financial Industry	Business and Finance	Industries	Financial Industry	NULL
96	90	Food Industry	Business and Finance	Industries	Food Industry	NULL
97	90	Healthcare Industry	Business and Finance	Industries	Healthcare Industry	NULL
98	90	Hospitality Industry	Business and Finance	Industries	Hospitality Industry	NULL
99	90	Information Services Industry	Business and Finance	Industries	Information Services Industry	NULL
100	90	Legal Services Industry	Business and Finance	Industries	Legal Services Industry	NULL
101	90	Logistics and Transportation Industry	Business and Finance	Industries	Logistics and Transportation Industry	NULL
102	90	Agriculture	Business and Finance	Industries	Agriculture	NULL
103	90	Management Consulting Industry	Business and Finance	Industries	Management Consulting Industry	NULL
104	90	Manufacturing Industry	Business and Finance	Industries	Manufacturing Industry	NULL
105	90	Mechanical and Industrial Engineering Industry	Business and Finance	Industries	Mechanical and Industrial Engineering Industry	NULL
106	90	Media Industry	Business and Finance	Industries	Media Industry	NULL
107	90	Metals Industry	Business and Finance	Industries	Metals Industry	NULL
108	90	Non-Profit Organizations	Business and Finance	Industries	Non-Profit Organizations	NULL
109	90	Pharmaceutical Industry	Business and Finance	Industries	Pharmaceutical Industry	NULL
110	90	Power and Energy Industry	Business and Finance	Industries	Power and Energy Industry	NULL
111	90	Publishing Industry	Business and Finance	Industries	Publishing Industry	NULL
112	90	Real Estate Industry	Business and Finance	Industries	Real Estate Industry	NULL
113	90	Apparel Industry	Business and Finance	Industries	Apparel Industry	NULL
114	90	Retail Industry	Business and Finance	Industries	Retail Industry	NULL
115	90	Technology Industry	Business and Finance	Industries	Technology Industry	NULL
116	90	Telecommunications Industry	Business and Finance	Industries	Telecommunications Industry	NULL
117	90	Automotive Industry	Business and Finance	Industries	Automotive Industry	NULL
118	90	Aviation Industry	Business and Finance	Industries	Aviation Industry	NULL
119	90	Biotech and Biomedical Industry	Business and Finance	Industries	Biotech and Biomedical Industry	NULL
120	90	Civil Engineering Industry	Business and Finance	Industries	Civil Engineering Industry	NULL
121	90	Construction Industry	Business and Finance	Industries	Construction Industry	NULL
122	90	Defense Industry	Business and Finance	Industries	Defense Industry	NULL
123		Careers	Careers	NULL	NULL	NULL
124	123	Apprenticeships	Careers	Apprenticeships	NULL	NULL
125	123	Career Advice	Careers	Career Advice	NULL	NULL
126	123	Career Planning	Careers	Career Planning	NULL	NULL
127	123	Job Search	Careers	Job Search	NULL	NULL
128	127	Job Fairs	Careers	Job Search	Job Fairs	NULL
129	127	Resume Writing and Advice	Careers	Job Search	Resume Writing and Advice	NULL
130	123	Remote Working	Careers	Remote Working	NULL	NULL
131	123	Vocational Training	Careers	Vocational Training	NULL	NULL
132		Education	Education	NULL	NULL	NULL
133	132	Adult Education	Education	Adult Education	NULL	NULL
134	132	Private School	Education	Private School	NULL	NULL
135	132	Secondary Education	Education	Secondary Education	NULL	NULL
136	132	Special Education	Education	Special Education
137	132	College Education	Education	College Education	NULL	NULL
138	137	College Planning	Education	College Education	College Planning	NULL
139	137	Postgraduate Education	Education	College Education	Postgraduate Education	NULL
140	139	Professional School	Education	College Education	Postgraduate Education	Professional School
141	137	Undergraduate Education	Education	College Education	Undergraduate Education	NULL
142	132	Early Childhood Education	Education	Early Childhood Education	NULL	NULL
143	132	Educational Assessment	Education	Educational Assessment	NULL	NULL
144	143	Standardized Testing	Education	Educational Assessment	Standardized Testing	NULL
145	132	Homeschooling	Education	Homeschooling	NULL	NULL
146	132	Homework and Study	Education	Homework and Study	NULL	NULL
147	132	Language Learning	Education	Language Learning	NULL	NULL
148	132	Online Education	Education	Online Education	NULL	NULL
149	132	Primary Education	Education	Primary Education	NULL	NULL
150		Events and Attractions	Events and Attractions	NULL	NULL	NULL
151	150	Amusement and Theme Parks	Events and Attractions	Amusement and Theme Parks	NULL	NULL
152	150	Fashion Events	Events and Attractions	Fashion Events	NULL	NULL
153	150	Historic Site and Landmark Tours	Events and Attractions	Historic Site and Landmark Tours	NULL	NULL
154	150	Malls & Shopping Centers	Events and Attractions	Malls & Shopping Centers	NULL	NULL
155	150	Museums & Galleries	Events and Attractions	Museums & Galleries	NULL	NULL
156	150	Musicals	Events and Attractions	Musicals	NULL	NULL
157	150	National & Civic Holidays	Events and Attractions	National & Civic Holidays	NULL	NULL
158	150	Nightclubs	Events and Attractions	Nightclubs	NULL	NULL
159	150	Outdoor Activities	Events and Attractions	Outdoor Activities	NULL	NULL
160	150	Parks & Nature	Events and Attractions	Parks & Nature	NULL	NULL
161	150	Party Supplies and Decorations	Events and Attractions	Party Supplies and Decorations	NULL	NULL
162	150	Awards Shows	Events and Attractions	Awards Shows	NULL	NULL
163	150	Personal Celebrations & Life Events	Events and Attractions	Personal Celebrations & Life Events	NULL	NULL
164	163	Anniversary	Events and Attractions	Personal Celebrations & Life Events	Anniversary	NULL
165	163	Wedding	Events and Attractions	Personal Celebrations & Life Events	Wedding	NULL
166	163	Baby Shower	Events and Attractions	Personal Celebrations & Life Events	Baby Shower	NULL
167	163	Bachelor Party	Events and Attractions	Personal Celebrations & Life Events	Bachelor Party	NULL
168	163	Bachelorette Party	Events and Attractions	Personal Celebrations & Life Events	Bachelorette Party	NULL
169	163	Birth	Events and Attractions	Personal Celebrations & Life Events	Birth	NULL
170	163	Birthday	Events and Attractions	Personal Celebrations & Life Events	Birthday	NULL
171	163	Funeral	Events and Attractions	Personal Celebrations & Life Events	Funeral	NULL
172	163	Graduation	Events and Attractions	Personal Celebrations & Life Events	Graduation	NULL
173	163	Prom	Events and Attractions	Personal Celebrations & Life Events	Prom	NULL
174	150	Political Event	Events and Attractions	Political Event	NULL	NULL
175	150	Religious Events	Events and Attractions	Religious Events	NULL	NULL
176	150	Sporting Events	Events and Attractions	Sporting Events	NULL	NULL
177	150	Theater Venues and Events	Events and Attractions	Theater Venues and Events	NULL	NULL
178	150	Zoos & Aquariums	Events and Attractions	Zoos & Aquariums	NULL	NULL
179	150	Bars & Restaurants	Events and Attractions	Bars & Restaurants	NULL	NULL
180	150	Business Expos & Conferences	Events and Attractions	Business Expos & Conferences	NULL	NULL
181	150	Casinos & Gambling	Events and Attractions	Casinos & Gambling	NULL	NULL
182	150	Cinemas and Events	Events and Attractions	Cinemas and Events	NULL	NULL
183	150	Comedy Events	Events and Attractions	Comedy Events	NULL	NULL
184	150	Concerts & Music Events	Events and Attractions	Concerts & Music Events	NULL	NULL
185	150	Fan Conventions	Events and Attractions	Fan Conventions	NULL	NULL
186		Family and Relationships	Family and Relationships	NULL	NULL	NULL
187	186	Bereavement	Family and Relationships	Bereavement	NULL	NULL
188	186	Dating	Family and Relationships	Dating
189	186	Divorce	Family and Relationships	Divorce
190	186	Eldercare	Family and Relationships	Eldercare	NULL	NULL
191	186	Marriage and Civil Unions	Family and Relationships	Marriage and Civil Unions	NULL	NULL
192	186	Parenting	Family and Relationships	Parenting	NULL	NULL
193	192	Adoption and Fostering	Family and Relationships	Parenting	Adoption and Fostering	NULL
194	192	Daycare and Pre-School	Family and Relationships	Parenting	Daycare and Pre-School	NULL
195	192	Internet Safety	Family and Relationships	Parenting	Internet Safety	NULL
196	192	Parenting Babies and Toddlers	Family and Relationships	Parenting	Parenting Babies and Toddlers	NULL
197	192	Parenting Children Aged 4-11	Family and Relationships	Parenting	Parenting Children Aged 4-11	NULL
198	192	Parenting Teens	Family and Relationships	Parenting	Parenting Teens	NULL
199	192	Special Needs Kids	Family and Relationships	Parenting	Special Needs Kids
200	186	Single Life	Family and Relationships	Single Life
201		Fine Art	Fine Art	NULL	NULL	NULL
202	201	Costume	Fine Art	Costume	NULL	NULL
203	201	Dance	Fine Art	Dance	NULL	NULL
204	201	Design	Fine Art	Design	NULL	NULL
205	201	Digital Arts	Fine Art	Digital Arts	NULL	NULL
206	201	Fine Art Photography	Fine Art	Fine Art Photography	NULL	NULL
207	201	Modern Art	Fine Art	Modern Art	NULL	NULL
208	201	Opera	Fine Art	Opera	NULL	NULL
209	201	Theater	Fine Art	Theater	NULL	NULL
210		Food & Drink	Food & Drink	NULL	NULL	NULL
211	210	Alcoholic Beverages	Food & Drink	Alcoholic Beverages
212	210	Vegan Diets	Food & Drink	Vegan Diets	NULL	NULL
213	210	Vegetarian Diets	Food & Drink	Vegetarian Diets	NULL	NULL
214	210	World Cuisines	Food & Drink	World Cuisines
215	210	Barbecues and Grilling	Food & Drink	Barbecues and Grilling	NULL	NULL
